Product_Produit;Object-ID;Brand_Marque;Component-Type_Type-Composant;Model_Modele;Material_Materiau;Front-Wing-Surface_Surface-Aile-Avant_Cm2;Span-Length_Envergure-Longueur_Mm;Length_Longueur_Mm;High_Hauteur_Mm;Root-Chord_Empattement_Mm;Aspect-Ratio;Weight_Poids_g;Floatability_Flottabilite_L;Intended-Uses_Usages;Fuselage-Compatibility_Compatibilite-Fuselage;Box_Boitier;Mast-Compatibility_Compatibilite-Mat;Product-Picture_Photo-Produit;by;status;Comments;"Created on";Updates;"Last modified";"Foil-Database(Lien vers une autre table)";Foil-Database(Mast-Compatibility_Compatibilite-Mat)
MOSES-MFW900-Fuselage;12;MOSES;Fuselage;MFW900;"Mix - mélange";;;900;;;;;;"Windsurfing, Sup - surf, Kitesurfing";;;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Length_Longueur' from '' to '900'";"2019-08-28 19:26:59";"MOSES-MW790-Front Wing - Aile avant, MOSES-MW873-Front Wing - Aile avant, MOSES-MW683-Front Wing - Aile avant, MOSES-MW633-Front Wing - Aile avant";
MOSES-MFW900A-Fuselage;49;MOSES;Fuselage;MFW900A;Aluminium;;;900;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-28;;"2019-08-30 11:57:14";"MOSES-MW790-Front Wing - Aile avant, MOSES-MW873-Front Wing - Aile avant, MOSES-MW683-Front Wing - Aile avant, MOSES-MW633-Front Wing - Aile avant";
"MOSES-MMW085-Mast - Mât";48;MOSES;"Mast - Mât";MMW085;"Carbon - Carbone";;;;850;;;1950;;Windsurfing;;"Deep Tuttle";;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Model_Modele' from 'Vento 85' to 'MMW085'";"2019-08-30 12:13:56";;
"MOSES-MM075A-Mast - Mât";50;MOSES;"Mast - Mât";MM075A;Aluminium;;;;750;;;2200;;"Windsurfing, Kitesurfing, Sup - surf";;Adapter;;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Box_Boitier' from 'Deep Tuttle' to 'Adapter'";"2019-08-30 12:11:23";;
"MOSES-MMW085BM-Mast - Mât";51;MOSES;"Mast - Mât";MMW085BM;"Carbon - Carbone";;;;850;;;1850;;Windsurfing;;"Deep Tuttle";;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Weight_Poids_g' from '1950' to '1850'";"2019-08-30 12:15:49";;
"PHANTOM-IRIS R-Complete foil - foil complet";31;PHANTOM;"Complete foil - foil complet";"IRIS R";"Mix - mélange";950;;1100;1100;;;;;Windsurfing;;"Deep Tuttle";;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Box_Boitier' from '' to 'Deep Tuttle'";"2019-08-30 11:45:59";;
"PHANTOM-IRIS F-Complete foil - foil complet";44;PHANTOM;"Complete foil - foil complet";"IRIS F";"Mix - mélange";800;;900;900;;;;;Windsurfing;;"Deep Tuttle";;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Box_Boitier' from '' to 'Deep Tuttle'";"2019-08-30 11:46:04";;
"PHANTOM-M40J Large-Front Wing - Aile avant";32;PHANTOM;"Front Wing - Aile avant";"M40J Large";"Carbon - Carbone";950;;;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Front-Wing-Surface_Surface-Aile-Avant_Cm2' from '' to '950'";"2019-08-30 11:21:13";;
"PHANTOM-T700 Large-Front Wing - Aile avant";45;PHANTOM;"Front Wing - Aile avant";"T700 Large";"Carbon - Carbone";950;;;;;;;;;;;;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Front-Wing-Surface_Surface-Aile-Avant_Cm2' from '' to '950'";"2019-08-30 11:31:33";;
"PHANTOM-M40J Medium-Front Wing - Aile avant";33;PHANTOM;"Front Wing - Aile avant";"M40J Medium";"Carbon - Carbone";800;;;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Front-Wing-Surface_Surface-Aile-Avant_Cm2' from '950' to '800'";"2019-08-30 11:21:13";;
"PHANTOM-M40J Small-Front Wing - Aile avant";35;PHANTOM;"Front Wing - Aile avant";"M40J Small";"Carbon - Carbone";550;;;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Front-Wing-Surface_Surface-Aile-Avant_Cm2' from '800' to '550'";"2019-08-30 11:21:13";;
"PHANTOM-M40J X-small-Front Wing - Aile avant";37;PHANTOM;"Front Wing - Aile avant";"M40J X-small";"Carbon - Carbone";350;;;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Front-Wing-Surface_Surface-Aile-Avant_Cm2' from '550' to '350'";"2019-08-30 11:21:13";;
"PHANTOM-T700 Medium-Front Wing - Aile avant";46;PHANTOM;"Front Wing - Aile avant";"T700 Medium";"Carbon - Carbone";;;;;;;;;;;;;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Front-Wing-Surface_Surface-Aile-Avant_Cm2' from '800' to ''";"2019-08-30 11:35:00";;
PHANTOM-110-Fuselage;40;PHANTOM;Fuselage;110;Aluminium;;;1100;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Length_Longueur_Mm' from '110' to '1100'";"2019-08-30 11:21:13";;
PHANTOM-90-Fuselage;41;PHANTOM;Fuselage;90;Aluminium;;;1100;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Length_Longueur_Mm' from '110' to '1100'";"2019-08-30 11:21:13";;
"PHANTOM-M40J Small-Stabilizer - Stabilisateur";38;PHANTOM;"Stabilizer - Stabilisateur";"M40J Small";"Carbon - Carbone";250;;;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Brand_Marque' from '' to 'PHANTOM'";"2019-08-30 11:21:13";;
"PHANTOM-T700 Small-Stabilizer - Stabilisateur";47;PHANTOM;"Stabilizer - Stabilisateur";"T700 Small";"Carbon - Carbone";250;;;;;;;;;;;;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Front-Wing-Surface_Surface-Aile-Avant_Cm2' from '' to '250'";"2019-08-30 11:35:50";;
"PHANTOM-M40J X-small-Stabilizer - Stabilisateur";39;PHANTOM;"Stabilizer - Stabilisateur";"M40J X-small";"Carbon - Carbone";200;;;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-30;"@fxsuireperso: changed field 'Brand_Marque' from '' to 'PHANTOM'";"2019-08-30 11:21:13";;
